Age	SLOCStandard	CommentCodeRation	Readability	SimpleReadability	NVAR	NCOMP	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	isPublic	isStatic	isGetterSetter	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	TangledWMoveandFileRename	Buggycommiit	RiskyCommit	file	
1649	4,4	0.0,0.0	0.5151684284210205,0.25848039984703064	0.5966069265122318,0.504505825054973	0,0	0,0	1,1	1.66,1.66	0,0	1,1	22.0,24.0	124.81353759765625,124.26470947265625	1,1	0,0	0,0	1,1	0,0	0,53	0,1	0,2	0,29	0,14	0,0	0,0	1606.json	
1584	4	0.0	1.1559804988792166E-4	0.003974700847322448	0	0	1	1.0	0	4	55.0	119.30913543701172	1	0	0	3	0	0	0	0	0	0	0	0	1384.json	
1520	3	0.0	0.02956944704055786	0.7874836051038024	0	0	1	0.94	0	0	17.0	131.28770446777344	1	0	1	1	0	0	0	0	0	0	0	0	2658.json	
1813	7,7,7,7,7,7,7	0.0,0.0,0.0,0.0,0.0,0.0,0.0	1.1019867815775797E-4,1.0413107520435005E-4,1.0413107520435005E-4,1.0413107520435005E-4,0.0,0.0,0.0	3.184782356806934E-4,3.2579833929388815E-4,3.2579833929388815E-4,3.2579833929388815E-4,3.7918039274195393E-4,3.7918039274195393E-4,9.185021500998688E-5	0,0,0,0,0,0,0	0,0,0,0,0,0,0	2,2,2,2,2,2,2	1.28,1.28,1.28,1.28,1.28,1.28,1.28	1,1,1,1,1,1,1	5,5,5,5,5,5,7	77.0,77.0,77.0,77.0,77.0,77.0,83.0	108.05938720703125,108.05938720703125,108.05938720703125,108.05938720703125,108.10724639892578,108.10724639892578,107.62323760986328	1,1,1,1,1,1,1	0,0,0,0,0,0,0	0,0,0,0,0,0,0	1,1,1,1,1,1,1	2,2,2,2,2,2,2	0,1,1,9,81,115,148	0,2,0,7,3,0,1	0,4,0,7,6,0,2	0,8,0,0,27,0,34	0,2,12,50,112,0,8	0,0,0,0,0,0,0	0,0,0,0,0,0,0	1126.json	
1813	7,7,7,7,7,7,7	0.0,0.0,0.0,0.0,0.0,0.0,0.0	1.0553818719927222E-4,1.1442654067650437E-4,1.1442654067650437E-4,1.1442654067650437E-4,0.0,0.0,0.0	3.055071154244934E-4,2.8133272166005324E-4,2.8133272166005324E-4,2.8133272166005324E-4,3.336493631727539E-4,3.336493631727539E-4,8.150041095219917E-5	0,0,0,0,0,0,0	0,0,0,0,0,0,0	2,2,2,2,2,2,2	1.28,1.28,1.28,1.28,1.28,1.28,1.28	1,1,1,1,1,1,1	5,5,5,5,5,5,7	77.0,77.0,77.0,77.0,77.0,77.0,83.0	108.05938720703125,108.05938720703125,108.05938720703125,108.05938720703125,108.10724639892578,108.10724639892578,107.62323760986328	1,1,1,1,1,1,1	0,0,0,0,0,0,0	0,0,0,0,0,0,0	1,1,1,1,1,1,1	2,2,2,2,2,2,2	0,1,1,9,81,115,148	0,4,0,7,3,0,1	0,8,0,7,6,0,2	0,27,0,0,20,0,34	0,2,12,50,112,0,8	0,0,0,0,0,0,0	0,0,0,0,0,0,0	1127.json	
1856	3,3,3,3	0.0,0.0,0.0,0.0	0.8794547915458679,0.8789561986923218,0.8423359394073486,0.8423359394073486	0.6551117292208873,0.6421025059356068,0.6300583412824281,0.6300583412824281	0,0,0,0	0,0,0,0	1,1,1,1	0.94,0.94,0.94,0.94	0,0,0,0	0,0,0,0	23.0,23.0,23.0,23.0	129.58164978027344,129.58164978027344,129.58164978027344,129.58164978027344	1,1,1,1	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,83,107,158	0,1,1,0	0,2,2,0	0,16,13,0	0,44,42,0	0,0,0,0	0,0,0,0	1428.json	
1643	3	0.0	0.6689064502716064	0.8809393855360785	0	0	1	0.94	0	0	13.0	132.9956512451172	1	0	1	0	0	0	0	0	0	0	0	0	35.json	
1581	3,3	0.0,0.0	0.6188060641288757,0.7397571802139282	0.8638399919432619,0.893016205682552	0,0	0,0	1,1	0.94,0.94	0,0	0,0	12.0,12.0	133.59722900390625,133.59722900390625	1,1	0,0	1,1	0,0	0,0	0,8	0,1	0,2	0,7	0,5	0,0	0,0	1105.json	
1618	5	0.0	0.4678407907485962	0.5140389185198786	0	0	1	0.98	0	0	29.0	119.57592010498047	1	0	0	1	0	0	0	0	0	0	0	0	1843.json	
1649	5	0.0	0.001015181071124971	0.11171548870412332	0	0	1	1.79	0	1	38.0	117.79682159423828	1	0	0	3	0	0	0	0	0	0	0	0	1526.json	
1752	3,3	0.0,0.0	0.6329327821731567,0.6334361433982849	0.8271896567093497,0.828172609477569	0,0	0,0	1,1	0.94,0.94	0,0	1,1	18.0,18.0	130.99049377441406,130.99049377441406	1,1	0,0	0,0	1,1	0,0	0,54	0,0	0,0	0,4	0,0	0,0	0,0	891.json	
1863	6,6,6,6,10,10,10,10,6	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.8867154717445374,0.8867154717445374,0.8867154717445374,0.8867154717445374,0.5720421671867371,0.5540944933891296,0.5540944933891296,0.5064954161643982,0.5905147790908813	0.8438901019622757,0.8438901019622757,0.8438901019622757,0.8438901019622757,0.2150186730051891,0.28681997714756496,0.28681997714756496,0.17216988486617366,0.6375859744593355	1,1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1,1	2,2,2,2,3,3,3,3,2	1.37,1.37,1.37,1.37,1.4,1.4,1.4,1.4,1.37	1,1,1,1,1,1,1,1,1	1,1,1,1,2,2,2,3,2	26.0,26.0,26.0,26.0,47.0,45.0,45.0,49.0,31.0	117.25019073486328,117.25019073486328,117.25019073486328,117.25019073486328,104.82258605957031,105.10577392578125,105.10577392578125,104.60588836669922,116.04551696777344	1,1,1,1,1,1,1,1,1	0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0	1,1,1,1,1,1,1,1,1	0,0,0,0,0,0,0,0,0	0,10,51,59,131,152,165,245,252	0,0,0,0,6,1,0,1,2	0,0,0,0,8,2,0,2,8	0,0,0,0,149,7,0,14,101	0,3,12,14,112,2,0,1,1	0,0,0,0,0,0,0,0,0	0,0,0,0,0,1,0,0,0	1163.json	
