Age	SLOCStandard	CommentCodeRation	Readability	SimpleReadability	NVAR	NCOMP	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	isPublic	isStatic	isGetterSetter	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	TangledWMoveandFileRename	Buggycommiit	RiskyCommit	file	
1691	3	0.0	0.15859410166740417	0.873275419565343	0	0	1	1.89	0	1	15.0	132.25152587890625	1	0	0	0	0	0	0	0	0	0	0	0	10857.json	
2488	10	0.0	0.059636760503053665	0.008048611646124547	2	2	3	2.6	1	2	68.0	102.79534912109375	1	0	0	1	0	0	0	0	0	0	0	0	4286.json	
1351	7,8	0.0,0.0	0.09720638394355774,0.17369616031646729	0.15942012337241107,0.13830165568623884	1,1	1,1	2,2	2.36,1.2	1,1	1,0	43.0,48.0	111.3503189086914,108.5035629272461	1,1	0,0	0,0	2,1	0,0	0,6	0,5	0,9	0,109	0,441	0,0	0,0	1362.json	
2417	3,3	0.0,0.0	0.5717688798904419,0.5717688798904419	0.9228267114384106,0.9228267114384106	0,0	0,0	1,1	1.89,1.89	0,0	1,1	14.0,14.0	132.79563903808594,132.79563903808594	1,1	0,0	0,0	0,0	0,0	0,1015	0,0	0,0	0,0	0,3	0,0	0,0	10519.json	
3048	3	0.0	0.008210768923163414	0.7784519691332561	0	0	1	1.89	0	1	25.0	128.91311645507812	1	0	1	0	0	0	0	0	0	0	0	0	6672.json	
2297	3	0.0	0.026679353788495064	0.3006703814945474	0	0	1	0.94	0	2	30.0	127.67500305175781	1	1	0	1	0	0	0	0	0	0	0	0	2917.json	
2488	8	0.0	0.09379883110523224	0.11602924320259145	1	1	2	1.94	1	4	46.0	108.72486877441406	0	0	0	0	0	0	0	0	0	0	0	0	5074.json	
2488	1	0.0	0.993058979511261	0.8475629854626463	0	0	1	0.0	0	1	13.0	150.978515625	1	0	0	0	0	0	0	0	0	0	0	0	4517.json	
1476	10	0.0	0.06359614431858063	0.7641850467680177	0	0	1	13.05	1	2	43.0	106.29862976074219	0	0	0	3	0	0	0	0	0	0	0	0	7913.json	
2758	3	0.0	0.3189982771873474	0.8464764253674846	0	0	1	1.89	0	0	15.0	131.9385528564453	1	0	1	0	0	0	0	0	0	0	0	0	7619.json	
2488	3	0.0	0.007270392961800098	0.6798663181825513	0	0	1	0.94	0	1	25.0	128.91311645507812	1	0	1	0	0	0	0	0	0	0	0	0	3397.json	
