Age	SLOCStandard	CommentCodeRation	Readability	SimpleReadability	NVAR	NCOMP	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	isPublic	isStatic	isGetterSetter	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	TangledWMoveandFileRename	Buggycommiit	RiskyCommit	file	
2611	7	0.0	0.26809051632881165	0.10097981337994241	0	0	2	2.56	1	7	49.0	110.67108917236328	1	0	0	1	1	0	0	0	0	0	0	0	1606.json	
1739	3	0.0	0.5684749484062195	0.9068675472160659	0	0	1	1.89	0	1	15.0	132.086669921875	1	0	0	0	0	0	0	0	0	0	0	0	1384.json	
1671	92	0.13043478260869565	0.0	3.552212992288111E-28	22	23	23	6.1	8	43	529.0	50.108280181884766	1	1	0	4	10	0	0	0	0	0	0	0	2658.json	
2459	5	0.0	0.5324745774269104	0.21012247564008188	0	0	1	1.96	0	3	36.0	118.21444702148438	1	0	0	1	0	0	0	0	0	0	0	0	2931.json	
1821	3	0.0	0.7047407627105713	0.9680916578838871	0	0	1	1.89	0	0	12.0	133.59722900390625	1	0	1	0	0	0	0	0	0	0	0	0	451.json	
3710	3,3,3,3,4,3,3,3	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.8967127203941345,0.9257879853248596,0.9257879853248596,0.8531686067581177,0.8490135073661804,0.7711367011070251,0.7711367011070251,0.7244277000427246	0.6363668269846673,0.9497563858598964,0.9497563858598964,0.8713002543904559,0.86407149499734,0.14630276723977637,0.14630276723977637,0.26288140939931176	2,0,0,0,0,3,3,1	1,0,0,0,0,2,2,1	2,1,1,1,1,3,3,2	1.89,1.89,1.89,1.89,2.0,1.89,1.89,1.89	0,0,0,0,0,0,0,0	1,0,0,0,1,3,3,3	23.0,14.0,14.0,17.0,21.0,35.0,35.0,31.0	128.82666015625,132.4454345703125,132.4454345703125,131.28770446777344,125.0554428100586,126.17631530761719,126.17631530761719,127.19049072265625	1,1,1,1,1,1,1,1	0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	1,1,1,1,1,1,1,1	0,0,0,0,0,0,0,0	0,560,561,669,698,1019,1889,3689	0,3,0,1,2,3,0,1	0,6,0,2,3,7,0,2	0,41,0,35,38,89,0,16	0,25,11,37,37,37,41,31	0,0,0,0,0,0,0,0	0,0,0,0,1,0,1,0	640.json	
2249	2	0.0	0.9364796280860901	0.8437310083581802	0	0	1	0.0	0	0	14.0	139.0139617919922	1	0	0	1	0	0	0	0	0	0	0	0	2238.json	
1802	18,19,36	0.1111111111111111,0.10526315789473684,0.05555555555555555	0.0,0.0,0.0	1.5519044600252648E-14,1.66622939390413E-15,4.245150007544002E-26	5,7,13	4,6,13	4,5,10	3.68,3.61,6.05	2,2,5	19,19,35	212.0,224.0,360.0	86.06523132324219,84.59916687011719,70.29965209960938	1,1,1	0,0,0	0,0,0	1,1,1	9,9,12	0,0,106	0,2,20	0,2,21	0,62,995	0,6,5	0,0,0	0,0,1	2131.json	
2039	3,3	0.0,0.0	0.16540786623954773,0.17963121831417084	0.8338827953504012,0.8492139123857205	0,0	0,0	1,1	1.89,1.89	0,0	0,0	17.0,17.0	131.1535186767578,131.1535186767578	1,1	0,0	0,0	0,0	0,0	0,0	0,1	0,2	0,4	0,1	0,0	0,0	1428.json	
2911	4,4	0.0,0.0	0.0063216364942491055,0.0063216364942491055	0.2531215818575564,0.2531215818575564	0,0	0,0	1,1	2.0,2.0	0,0	1,1	34.0,34.0	121.9271469116211,121.9271469116211	1,1	0,0	0,0	2,2	0,0	0,868	0,0	0,0	0,0	0,13	0,0	0,1	620.json	
1945	12	0.0	0.036096759140491486	1.0935203223910533E-4	0	0	2	4.04	1	8	93.0	97.98675537109375	0	0	0	1	1	0	0	0	0	0	0	0	3082.json	
1821	3	0.0	0.5890902876853943	0.9577346342659124	0	0	1	1.89	0	0	13.0	132.9956512451172	1	0	1	0	0	0	0	0	0	0	0	0	290.json	
2703	26,26,25,13	0.0,0.0,0.0,0.0	0.0013212349731475115,4.441921191755682E-4,5.29735058080405E-4,0.03127530217170715	3.7133555370177135E-8,2.8408465672888543E-8,2.534629649339346E-8,0.0010494350635265504	1,1,1,1	1,1,1,1	9,9,9,4	5.22,5.22,5.32,3.89	3,3,3,2	15,15,15,6	163.0,163.0,162.0,83.0	80.61051177978516,80.6361312866211,81.32975769042969,96.82160949707031	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1	2,2,2,2	0,231,244,345	0,3,2,2	0,7,5,16	0,13,157,747	0,15,36,51	0,0,0,0	0,1,1,1	549.json	
2830	2	0.0	0.9312642216682434	0.8535501683412894	0	0	1	0.0	0	0	13.0	139.56419372558594	1	0	0	1	0	0	0	0	0	0	0	0	2226.json	
3710	3	0.0	0.49855542182922363	0.9295130022005368	0	0	1	1.89	0	0	14.0	132.4454345703125	1	0	1	0	0	0	0	0	0	0	0	0	35.json	
3710	24,20,18,18,12,12,12,16,16,19,22,22,23,24,24,29,31,31,31,31,31,26	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.028664499521255493,0.08965042978525162,0.2930693030357361,0.2961536645889282,0.44579359889030457,0.4344792366027832,0.41652125120162964,0.09452926367521286,0.07087016850709915,0.004077803809195757,9.008125634863973E-4,8.973869844339788E-4,3.089337551500648E-4,0.030063990503549576,0.029841406270861626,0.002245865995064378,2.4248272529803216E-4,2.390359586570412E-4,2.3960873659234494E-4,1.887769903987646E-4,3.242225793655962E-4,0.01015111431479454	1.7758325392372555E-9,4.957167943627442E-8,1.157009773286976E-6,8.194010078671413E-7,2.035262893317752E-5,2.8636146726058788E-5,4.065165358894403E-6,4.256497814634258E-8,2.9115119129949814E-8,8.446962803456445E-10,1.8024702703806212E-10,1.7995159355091544E-10,1.2951774292204121E-11,9.194048466293838E-10,6.273665371053195E-10,1.346134439703806E-11,5.183859774832355E-13,1.0941256337390676E-13,1.1005142547805876E-13,4.016922848722257E-14,4.021394611207632E-14,4.346421336824591E-10	6,5,4,4,4,4,5,5,5,9,6,6,8,6,6,9,9,9,9,10,10,6	7,5,4,4,4,4,6,7,7,8,8,8,9,9,9,11,11,11,11,12,12,6	7,6,5,5,3,3,3,4,4,5,5,5,6,6,6,7,7,7,7,7,7,6	3.87,3.6,3.56,3.56,2.75,2.75,2.75,3.46,3.46,3.48,3.45,3.45,3.38,3.46,3.46,4.28,4.17,4.17,4.17,4.17,4.17,4.3	2,2,2,2,1,1,1,2,2,2,2,2,3,2,2,3,3,3,3,3,3,2	12,11,8,8,8,8,9,13,13,17,18,18,19,17,17,18,20,20,20,21,21,14	173.0,147.0,129.0,130.0,102.0,101.0,110.0,140.0,142.0,168.0,184.0,184.0,198.0,185.0,186.0,217.0,237.0,244.0,244.0,248.0,248.0,188.0	81.93814849853516,86.01476287841797,88.72974395751953,88.66397094726562,97.11773681640625,97.19890594482422,96.69596862792969,90.39168548583984,90.31793212890625,86.45465087890625,83.5333251953125,83.5333251953125,82.1557388305664,81.9138412475586,81.86138916015625,77.74021911621094,76.17804718017578,76.00386810302734,76.00386810302734,75.8969955444336,75.8969955444336,80.50907897949219	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4	2,2,2,2,2,2,2,2,2,2,3,3,4,3,3,3,3,3,3,3,3,2	0,83,253,539,539,543,550,550,551,586,882,882,883,889,922,991,1030,1098,1238,1259,1358,3511	0,0,3,1,1,1,1,4,1,6,5,1,4,9,1,32,4,3,2,1,1,23	0,5,8,2,8,2,2,4,2,9,6,2,7,16,2,59,6,6,4,2,2,53	0,215,120,13,238,13,35,162,3,202,233,1,115,289,13,351,140,53,4,27,2,834	0,2,69,3,5,2,3,2,2,14,2,2,2,2,2,3,2,8,15,5,2,2	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,1,0,1,0	795.json	
3003	6,5,5,9,9	0.0,0.0,0.0,0.0,0.0	0.04901793599128723,0.8483732342720032,0.6932769417762756,0.13109873235225677,0.2420111745595932	0.0623281440205528,0.74097534252301,0.6298927485756565,0.37766622017158086,0.21559538553150548	1,1,1,1,2	1,1,1,1,2	2,2,2,2,2	1.89,1.96,1.96,2.67,2.67	0,0,0,1,1	4,2,2,3,4	49.0,29.0,31.0,44.0,49.0	113.11126708984375,119.43572235107422,118.91511535644531,107.15947723388672,106.43616485595703	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	1,1,1,1,1	0,0,0,0,0	0,111,182,384,810	0,0,1,6,2	0,1,2,9,3	0,129,10,142,29	0,18,30,4,1	0,0,0,0,0	0,1,0,1,1	2958.json	
3710	3,2,2,3,3,15,15	0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.06666666666666667	0.07230354845523834,0.5727786421775818,0.5727786421775818,0.7392545342445374,0.4798987805843353,0.021714942529797554,0.021501516923308372	0.5418390627882963,0.8277071947330918,0.8277071947330918,0.6940946388170036,0.6236392483387916,0.004126815577463963,0.004099125014578058	0,0,0,0,0,3,3	0,0,0,0,0,3,3	1,1,1,1,1,3,3	1.89,0.0,0.0,1.89,1.89,3.38,3.38	0,0,0,0,0,2,2	1,0,0,0,1,7,7	24.0,16.0,16.0,22.0,23.0,87.0,87.0	128.92515563964844,138.03729248046875,138.03729248046875,129.37762451171875,128.97265625,94.63439178466797,94.63439178466797	1,1,1,1,1,1,1	0,0,0,0,0,0,0	0,0,0,0,0,0,0	2,2,2,2,2,2,2	0,0,0,0,0,1,1	0,560,561,669,698,1019,1889	0,2,0,1,1,17,0	0,5,0,1,2,20,0	0,46,0,55,31,484,1	0,25,11,37,37,37,41	0,0,0,0,0,0,0	0,0,0,0,1,0,1	646.json	
2171	7,7	0.0,0.0	0.7106212973594666,0.6911505460739136	0.5409682546520481,0.5452664281314019	1,1	1,1	2,2	2.56,2.56	1,1	2,2	37.0,37.0	112.54422760009766,112.54422760009766	1,1	0,0	0,0	2,2	1,1	0,2144	0,1	0,2	0,10	0,101	0,0	0,0	773.json	
2592	7,7	0.0,0.0	0.8886562585830688,0.8886562585830688	0.9271257589710813,0.9271257589710813	0,0	0,0	1,1	5.42,5.42	0,0	0,0	31.0,31.0	114.06831359863281,114.06831359863281	1,1	0,0	0,0	0,0	0,0	0,297	0,0	0,0	0,0	0,15	0,0	0,1	1105.json	
2393	8	0.0	0.2190352976322174	0.3260018105210976	2	1	2	2.4	1	3	44.0	109.326904296875	0	1	0	1	2	0	0	0	0	0	0	0	1843.json	
2242	3,5	0.0,0.2	0.07443950325250626,0.8814760446548462	0.8741951624254509,0.9354906400794774	0,1	0,1	1,2	1.89,2.75	0,1	1,1	21.0,27.0	129.81976318359375,119.7175064086914	1,1	0,0	0,0	1,1	0,0	0,2	0,5	0,6	0,194	0,4	0,0	0,0	1746.json	
2690	43,48,51,53,52,50,50,50,48,48,50,50,50,49,50,50	0.023255813953488372,0.020833333333333332,0.0196078431372549,0.018867924528301886,0.057692307692307696,0.06,0.06,0.06,0.0625,0.0625,0.06,0.06,0.06,0.061224489795918366,0.06,0.06	0.0023093123454600573,5.051763728260994E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	2.2396364787752494E-15,7.859436570404523E-17,1.42173725962969E-17,2.6919117922173246E-18,1.726545293279409E-17,6.83997502575692E-17,6.83997502575692E-17,4.1109511693622573E-17,1.1269143912651362E-16,1.3062509053851707E-16,5.327214057815396E-17,3.4084376814240064E-17,2.924171601370676E-17,1.2171307860003012E-16,1.8854652923486247E-17,2.911517039555628E-17	3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3	3,3,4,5,5,4,4,4,4,4,4,4,4,4,4,4	7,8,9,10,10,9,9,9,9,9,9,9,9,9,9,9	2.53,2.67,2.77,2.85,2.84,2.75,2.75,2.75,2.78,2.78,2.75,2.75,2.75,2.77,2.75,2.75	2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2	22,26,27,28,27,26,26,27,28,28,28,28,28,27,29,29	273.0,295.0,307.0,317.0,311.0,302.0,302.0,303.0,298.0,298.0,306.0,308.0,308.0,301.0,310.0,308.0	69.57538604736328,67.07337188720703,65.63047790527344,64.58778381347656,65.00708770751953,66.01380920410156,66.01380920410156,65.97430419921875,66.77896118164062,66.79075622558594,65.99168395996094,65.95780944824219,65.94601440429688,66.41658020019531,65.91236114501953,65.94601440429688	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	7,9,9,9,9,9,9,9,8,8,9,9,9,9,9,9	0,30,30,34,112,134,218,281,332,332,393,400,489,637,648,2663	0,6,4,3,2,3,1,1,5,1,3,1,1,0,2,1	0,6,5,4,3,7,2,2,12,2,4,2,2,1,3,2	0,263,128,57,53,100,10,20,275,20,99,19,5,78,84,8	0,1,4,1,1,10,15,8,51,9,2,13,2,14,5,48	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,1,0,1,1,0,1,1,1,0,0,1,1,0	1526.json	
3060	3,3	0.0,0.0	0.5909578800201416,0.588860809803009	0.8241851556712421,0.8829024506319139	0,0	0,0	1,1	3.77,1.89	0,0	0,0	15.0,15.0	131.9385528564453,131.9385528564453	1,1	0,0	1,1	0,0	0,0	0,17	0,0	0,0	0,16	0,96	0,0	0,0	3180.json	
2226	3	0.0	0.7747274041175842	0.9583786615232885	0	0	1	1.89	0	0	12.0	133.59722900390625	1	0	0	0	0	0	0	0	0	0	0	0	1379.json	
2291	3	0.0	0.9065828323364258	0.9742159427383513	0	0	1	1.89	0	0	12.0	133.59722900390625	1	0	0	0	0	0	0	0	0	0	0	0	2207.json	
2242	3	0.0	0.061054401099681854	0.8617722230699277	0	0	1	1.89	0	0	15.0	132.086669921875	1	0	0	0	0	0	0	0	0	0	0	0	891.json	
1945	10	0.0	0.18963073194026947	0.017836667443038263	2	2	3	2.53	1	2	65.0	102.79948425292969	1	0	0	4	1	0	0	0	0	0	0	0	3086.json	
2093	3	0.0	0.6626043915748596	0.7961863146762943	0	0	1	1.89	0	1	17.0	131.28770446777344	1	0	0	1	0	0	0	0	0	0	0	0	2126.json	
2436	3	0.0	0.177851140499115	0.6046829813652499	0	0	1	1.89	0	1	21.0	129.61952209472656	1	0	0	2	0	0	0	0	0	0	0	0	2978.json	
3163	3	0.0	0.04493575543165207	0.6778281819812536	0	0	1	1.89	0	1	24.0	129.12539672851562	1	1	0	2	0	0	0	0	0	0	0	0	2402.json	
2015	7	0.0	0.014108989387750626	0.06424713813178362	0	0	2	3.02	1	3	48.0	110.6667709350586	1	0	0	2	0	0	0	0	0	0	0	0	2278.json	
2905	3	0.0	0.9237645864486694	0.9402639916331218	0	0	1	1.89	0	0	13.0	132.9956512451172	1	0	0	0	0	0	0	0	0	0	0	0	1821.json	
1472	7	0.14285714285714285	0.08327922970056534	0.04414270170941549	1	1	2	2.4	1	2	52.0	110.14856719970703	1	0	0	3	1	0	0	0	0	0	0	0	2506.json	
2492	7,7,7	0.0,0.0,0.0	0.8539930582046509,0.8449258208274841,0.8218402862548828	0.8247285956061422,0.7853925769674913,0.7555464100621355	1,1,1	1,1,1	2,2,2	2.55,2.56,2.56	1,1,1	2,2,2	37.0,37.0,37.0	112.39112091064453,112.39112091064453,112.39112091064453	1,1,1	0,0,0	0,0,0	1,1,1	1,1,1	0,7,33	0,7,3	0,14,6	0,27,27	0,56,36	0,0,0	0,0,1	2287.json	
3710	3	0.0	0.8793222904205322	0.703799708755375	0	0	1	1.89	0	3	24.0	129.12539672851562	1	0	0	1	0	0	0	0	0	0	0	0	2270.json	
2606	9	0.0	0.2627224922180176	0.4457651416632651	2	1	2	3.14	1	4	48.0	106.96635437011719	1	0	0	0	0	0	0	0	0	0	0	0	2742.json	
3710	5,4,6	0.0,0.0,0.0	0.44246557354927063,0.6741078495979309,0.6429434418678284	0.6859089264025523,0.7536598275769659,0.8319071448270441	1,1,1	1,1,1	2,2,2	2.99,2.0,2.75	1,0,1	1,2,2	28.0,24.0,27.0	119.71456909179688,124.23494720458984,116.85369873046875	1,1,1	0,0,0	0,0,0	1,1,1	0,0,0	0,561,686	0,2,5	0,5,8	0,77,47	0,18,13	0,0,0	0,1,0	1715.json	
3710	22,23,24,22	0.18181818181818182,0.17391304347826086,0.16666666666666666,0.18181818181818182	0.212641179561615,0.14887157082557678,0.25441205501556396,0.3756038248538971	1.4476549408038618E-4,2.6861417165784775E-5,3.880902419528915E-4,0.0012985058001847211	3,3,3,3	3,3,3,3	7,7,7,7	4.14,4.42,4.44,4.14	3,3,3,3	7,9,9,7	129.0,138.0,128.0,119.0	84.9932632446289,83.84915161132812,83.59913635253906,85.4647216796875	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1	4,4,4,4	0,221,253,1251	0,1,5,0	0,1,9,1	0,67,64,86	0,7,69,36	0,0,0,0	0,0,0,1	51.json	
