Age	SLOCStandard	CommentCodeRation	Readability	SimpleReadability	NVAR	NCOMP	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	isPublic	isStatic	isGetterSetter	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	TangledWMoveandFileRename	Buggycommiit	RiskyCommit	file	
777	3,3,3,3	0.0,0.0,0.0,0.0	0.1769118756055832,0.1769118756055832,0.15784811973571777,0.4098757803440094	0.9087911856223698,0.9087911856223698,0.9255300795983694,0.8451961313260934	0,0,0,0	0,0,0,0	1,1,1,1	1.89,1.89,1.89,0.94	0,0,0,0	0,0,0,1	13.0,13.0,12.0,15.0	132.9956512451172,132.9956512451172,133.59722900390625,132.086669921875	1,1,0,0	1,1,1,1	1,1,0,0	0,0,0,0	0,0,0,0	0,292,336,740	0,0,1,1	0,0,2,2	0,0,7,14	0,15,15,6	0,0,0,0	0,0,1,0	2387.json	
16	8	0.0	0.4380444586277008	0.46722214512614246	1	1	2	1.41	1	3	41.0	109.76836395263672	1	0	0	1	1	0	0	0	0	0	0	0	3211.json	
2081	3,3,3,10	0.0,0.0,0.0,0.0	0.5047324299812317,0.5047324299812317,0.5047324299812317,0.04056428372859955	0.9154663200630841,0.9154663200630841,0.9154663200630841,0.018309916506975676	0,0,0,1	0,0,0,1	1,1,1,2	1.89,1.89,1.89,2.15	0,0,0,1	1,1,1,5	19.0,19.0,19.0,65.0	130.57513427734375,130.57513427734375,130.57513427734375,103.2100830078125	1,1,1,1	0,0,0,0	0,0,0,0	1,1,1,1	0,0,0,2	0,231,916,1219	0,0,0,10	0,0,0,13	0,0,0,379	0,51,137,63	0,0,0,0	0,0,0,0	522.json	
1095	3	0.0	0.21960040926933289	0.8757507476059783	0	0	1	1.89	0	0	16.0	131.91592407226562	1	0	0	0	0	0	0	0	0	0	0	0	804.json	
114	12	0.0	0.05991022661328316	0.0016659205713250534	1	1	2	3.28	1	6	77.0	99.03899383544922	0	1	0	2	2	0	0	0	0	0	0	0	1871.json	
2255	11,14,14,14	0.0,0.0,0.0,0.0	0.45360928773880005,0.2658528983592987,0.2658528983592987,0.2658528983592987	0.5722761225362681,0.6243453165390085,0.6243453165390085,0.6243453165390085	1,1,1,1	1,1,1,1	2,2,2,2	3.53,3.3,3.3,3.3	1,1,1,1	2,2,2,2	47.0,53.0,53.0,53.0	103.5085678100586,98.87042236328125,98.87042236328125,98.87042236328125	0,0,0,0	1,1,1,1	0,0,0,0	2,3,3,3	0,0,0,0	0,174,405,1090	0,5,0,0	0,7,0,0	0,75,0,0	0,1328,51,137	0,0,0,0	0,0,0,0	536.json	
1943	13	0.0	0.20622581243515015	0.025756361162492487	0	0	1	3.69	1	6	69.0	98.69864654541016	1	0	0	1	1	0	0	0	0	0	0	0	3626.json	
478	14,14	0.0,0.0	0.05873700603842735,0.061380814760923386	1.496263461197593E-4,1.4904630455715278E-4	1,1	1,1	3,3	3.09,3.09	1,1	7,7	95.0,95.0	94.99018859863281,94.99018859863281	0,1	1,1	0,0	3,3	2,2	0,1	0,1	0,2	0,6	0,4	0,0	0,0	2979.json	
2255	3,3,3,3	0.0,0.0,0.0,0.0	0.902388870716095,0.902388870716095,0.902388870716095,0.902388870716095	0.9756700924102,0.9756700924102,0.9756700924102,0.9756700924102	0,0,0,0	0,0,0,0	1,1,1,1	1.89,1.89,1.89,1.89	0,0,0,0	0,0,0,0	12.0,12.0,12.0,12.0	133.59722900390625,133.59722900390625,133.59722900390625,133.59722900390625	1,1,1,1	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,174,405,1090	0,0,0,0	0,0,0,0	0,0,0,0	0,1328,51,137	0,0,0,0	0,0,0,0	984.json	
2081	11,11,3,3	0.0,0.0,0.0,0.0	0.6367961764335632,0.6367961764335632,0.547799289226532,0.547799289226532	0.06472806273829114,0.06472806273829114,0.8106668791684002,0.8106668791684002	3,3,0,0	3,3,0,0	3,3,1,1	6.84,6.84,1.89,1.89	1,1,0,0	2,2,1,1	61.0,61.0,19.0,19.0	101.71847534179688,101.71847534179688,130.45266723632812,130.45266723632812	0,0,0,0	1,1,1,1	0,0,0,0	2,2,2,2	1,1,0,0	0,231,552,916	0,0,1,0	0,0,11,0	0,0,382,0	0,51,48,137	0,0,0,0	0,0,0,0	310.json	
