Age	SLOCStandard	CommentCodeRation	Readability	SimpleReadability	NVAR	NCOMP	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	isPublic	isStatic	isGetterSetter	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	TangledWMoveandFileRename	Buggycommiit	RiskyCommit	file	
1908	7,3	0.0,0.0	0.043179165571928024,0.31042516231536865	0.7940157992326359,0.8962067334744126	0,0	0,0	1,1	2.26,1.89	0,0	0,1	27.0,14.0	114.68283081054688,132.61029052734375	1,1	0,0	1,1	0,0	0,0	0,1010	0,1	0,5	0,100	0,119	0,0	0,1	2488.json	
6136	4,4,4,4,3	0.0,0.0,0.0,0.0,0.0	0.9008330702781677,0.9008330702781677,0.9008330702781677,0.9060676693916321,0.9340828657150269	0.8862762440092344,0.8862762440092344,0.8862762440092344,0.8893142551483013,0.8153496839552801	0,0,0,0,0	0,0,0,0,0	1,1,1,1,1	1.73,1.73,1.73,1.73,1.89	0,0,0,0,0	0,0,0,0,0	18.0,18.0,18.0,18.0,18.0	126.33003997802734,126.33003997802734,126.33003997802734,126.33003997802734,130.99049377441406	1,1,1,1,1	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,3886,4207,5698	0,0,0,1,1	0,0,0,2,2	0,0,0,1,11	0,0,0,58,14	0,0,0,0,0	0,0,0,0,1	651.json	
1636	7,7,6,4,4	0.0,0.0,0.0,0.0,0.0	0.030477959662675858,0.010262744501233101,0.021918127313256264,0.1713506579399109,0.18865059316158295	0.8050338940782399,0.5218081897364745,0.6660007303715413,0.7702242657521465,0.725128387444744	0,0,0,0,0	0,0,0,0,0	1,1,1,1,1	5.42,5.42,5.5,4.9,4.9	0,0,0,0,0	5,5,4,2,2	37.0,41.0,35.0,23.0,24.0	113.51742553710938,112.32443237304688,115.83061981201172,124.7987289428711,124.4649429321289	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	1,1,1,1,1	0,0,0,0,0	0,8,47,54,104	0,5,1,3,1	0,10,3,8,2	0,97,50,147,10	0,23,24,11,11	0,0,0,0,1	0,1,1,1,1	1865.json	
1908	13	0.0	3.9235971053130925E-4	0.7744605156663582	0	0	1	3.34	0	0	47.0	101.34869384765625	1	0	1	0	0	0	0	0	0	0	0	0	1059.json	
1858	9,8,8,12,12	0.0,0.0,0.0,0.0,0.0	0.12850572168827057,0.12522564828395844,0.12522564828395844,0.1010451540350914,0.1010451540350914	0.021744733178069804,0.014365373811673103,0.014365373811673103,0.012968040897928914,0.012968040897928914	1,1,1,1,1	1,1,1,1,1	2,2,2,2,2	2.51,2.4,2.4,2.75,2.75	1,1,1,1,1	6,6,6,6,6	62.0,62.0,62.0,73.0,73.0	105.37615966796875,107.28424835205078,107.28424835205078,99.7548828125,99.7548828125	1,1,1,1,1	1,1,1,1,1	0,0,0,0,0	2,2,2,2,2	2,2,2,3,3	0,149,149,755,1160	0,0,0,8,0	0,0,0,12,0	0,4,0,115,0	0,0,74,8,238	0,0,0,0,0	0,1,1,1,1	3358.json	
6181	16,16,16	0.0,0.0,0.0	0.07997684180736542,0.07997684180736542,0.08318793028593063	0.21386633786119286,0.21386633786119286,0.22021110628274812	1,1,1	3,3,3	5,5,5	3.0,3.0,3.0	2,2,2	5,5,5	64.0,64.0,64.0	95.08863067626953,95.08863067626953,95.08863067626953	1,1,1	0,0,0	0,0,0	1,1,1	0,0,0	0,3931,4252	0,0,6	0,0,12	0,0,6	0,0,107	0,0,0	0,0,0	1301.json	
2091	4,4	0.0,0.0	0.7722200751304626,0.7884084582328796	0.9842876714085285,0.9849557070471799	0,0	0,0	1,1	1.73,1.73	0,0	0,0	12.0,12.0	128.936767578125,128.936767578125	1,1	0,0	1,1	0,0	0,0	0,162	0,1	0,2	0,2	0,76	0,0	0,0	2525.json	
6156	11,11,11,11,11,11,8,8	0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.125,0.125	0.04768897220492363,0.04956355690956116,0.04956355690956116,0.04874914884567261,0.08318404853343964,0.08014506846666336,0.2844592332839966,0.276793897151947	0.022783444093236148,0.013919828262242022,0.013919828262242022,0.014467842337002304,0.01884397180513233,0.030606933654417558,0.034648635694777316,0.03752057880800104	2,2,2,2,2,2,2,2	2,2,2,2,2,2,2,2	2,2,2,2,2,2,2,2	4.65,4.65,4.65,4.65,4.65,4.65,3.5,3.5	1,1,1,1,1,1,1,1	8,8,8,8,8,8,6,6	67.0,70.0,70.0,70.0,69.0,66.0,58.0,58.0	101.50847625732422,101.28070068359375,101.28070068359375,101.28070068359375,101.40541076660156,101.63655853271484,107.57398223876953,107.63104248046875	1,1,1,1,1,1,1,1	0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	1,1,1,1,1,1,1,1	2,2,2,2,2,2,2,2	0,1108,3906,4227,4259,4277,5431,5758	0,2,0,4,1,2,1,2	0,4,0,8,2,4,3,4	0,4,0,15,25,4,63,12	0,112,0,193,35,242,45,12	0,0,0,0,0,0,0,0	0,0,0,0,1,1,1,0	1563.json	
4190	4,4,4,3,3	0.0,0.0,0.0,0.3333333333333333,0.3333333333333333	0.2350834459066391,0.2350834459066391,0.2369701862335205,0.5006592869758606,0.672966718673706	0.7076319760721802,0.7076319760721802,0.7310247206626044,0.6910175874408407,0.8120828139303837	0,0,0,0,0	0,0,0,0,0	1,1,1,1,1	1.73,1.73,1.73,2.0,2.0	0,0,0,0,0	1,1,1,1,1	23.0,23.0,23.0,23.0,20.0	124.39620971679688,124.39620971679688,124.39620971679688,129.05665588378906,130.07347106933594	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	2,2,2,2,2	0,0,0,0,0	0,1941,2262,2680,3160	0,0,2,2,1	0,0,4,3,2	0,0,8,76,16	0,0,107,21,14	0,0,0,0,0	0,0,0,1,1	2927.json	
1006	3,3	0.0,0.0	0.48760172724723816,0.47316816449165344	0.7490313060557247,0.7564397774926037	0,0	0,0	1,1	1.89,1.89	0,0	3,3	19.0,19.0	130.70933532714844,130.70933532714844	0,0	0,0	0,0	0,0	0,0	0,11	0,1	0,2	0,5	0,13	0,0	0,1	2586.json	
5900	8,8,8,8,8,9,9,8,8,12	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	6.260164664126933E-4,8.236745488829911E-4,8.484733407385647E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.11432231409471282,0.14414562067489353,0.11107879486295265,0.007014901163797187,0.01554769102985464,0.005309594513653728,0.005309594513653728,0.003160020350473666,0.00286927034701232,4.868310601373145E-5	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	1,1,1,1,1,1,1,1,1,1	1.94,1.94,1.94,1.94,1.94,1.89,1.89,1.73,1.73,1.49	0,0,0,0,0,0,0,0,0,0	3,3,3,3,4,5,5,4,4,8	46.0,45.0,46.0,61.0,56.0,64.0,64.0,64.0,64.0,96.0	109.18927764892578,109.36993408203125,109.18927764892578,107.54174041748047,107.9864501953125,105.2774429321289,105.2774429321289,107.13563537597656,107.13563537597656,98.278076171875	0,0,0,0,0,0,0,0,0,0	1,1,1,1,1,1,1,1,1,1	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	1,1,1,1,1,1,1,1,1,1	0,2,173,1380,1508,1592,3651,4581,5028,5208	0,1,1,2,1,1,0,1,4,4	0,2,2,4,2,1,0,2,8,4	0,1,6,48,22,59,0,12,44,268	0,1,45,59,23,12,0,50,2,4	0,0,0,0,0,0,0,0,0,0	0,1,0,0,0,0,0,1,0,1	808.json	
1287	4,15,15,15,9	0.0,0.0,0.0,0.0,0.0	0.010651789605617523,0.014982038177549839,0.017562419176101685,0.017561256885528564,0.03863132372498512	0.1168043146163407,1.8822919773489808E-4,1.561512172326275E-4,1.5641821670537632E-4,0.0018060133093147264	0,2,2,2,0	0,2,2,2,0	1,3,3,3,1	3.32,5.56,5.56,5.56,5.03	0,2,2,2,1	5,7,7,7,6	39.0,94.0,95.0,95.0,69.0	121.21369934082031,93.9882583618164,93.93323516845703,93.93323516845703,104.4998779296875	0,0,0,0,0	1,1,1,1,1	0,0,0,0,0	2,2,2,2,2	0,3,3,3,2	0,124,368,589,801	0,13,1,1,6	0,15,2,2,18	0,547,21,1,252	0,3,43,238,7	0,1,0,0,0	0,1,1,1,1	2336.json	
5850	33,33	0.0,0.0	0.0,0.0	0.0010978988532138858,0.0010978988532138858	0,0	0,0	1,1	2.42,2.42	0,0	0,0	127.0,127.0	80.14229583740234,80.14229583740234	1,1	0,0	1,1	0,0	0,0	0,3600	0,0	0,0	0,0	0,0	0,0	0,0	1073.json	
1026	3	0.0	0.9326223731040955	0.963911506773457	0	0	1	1.89	0	0	12.0	133.59722900390625	1	0	1	0	0	0	0	0	0	0	0	0	3127.json	
264	3	0.0	0.3562808632850647	0.9000111874164429	0	0	1	1.89	0	1	14.0	132.61029052734375	1	0	1	0	0	0	0	0	0	0	0	0	1696.json	
