Age	SLOCStandard	CommentCodeRation	Readability	SimpleReadability	NVAR	NCOMP	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	isPublic	isStatic	isGetterSetter	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	TangledWMoveandFileRename	Buggycommiit	RiskyCommit	file	
3099	8,8,8,8,8,8,17,18,16,18,18,17,17,13	0.0,0.0,0.0,0.0,0.0,0.0,0.17647058823529413,0.16666666666666666,0.1875,0.16666666666666666,0.16666666666666666,0.17647058823529413,0.17647058823529413,0.0	7.794052362442017E-4,7.794052362442017E-4,8.735974552109838E-4,8.735974552109838E-4,8.735974552109838E-4,8.735974552109838E-4,0.003932671155780554,0.002972738351672888,0.0036818275693804026,0.002972738351672888,0.0028257297817617655,0.0024119308218359947,0.0024119308218359947,3.329541068524122E-4	0.0013767082241213987,0.0013767082241213987,3.403109865809344E-4,3.403109865809344E-4,3.403109865809344E-4,3.403109865809344E-4,1.036429752793702E-4,4.721037270661162E-5,2.2550714095050164E-5,4.721037270661162E-5,4.739012133870583E-5,3.7540991319251726E-5,3.7540991319251726E-5,4.111968246133129E-8	1,1,1,1,1,1,3,3,2,3,3,3,3,2	1,1,1,1,1,1,3,3,2,3,3,3,3,2	2,2,2,2,2,2,4,4,3,4,4,4,4,2	2.4,2.4,4.8,4.8,4.8,4.8,4.98,4.88,5.36,4.88,4.88,2.4,2.4,1.9	1,1,1,1,1,1,1,1,1,1,1,1,1,0	10,10,10,10,10,10,10,11,12,11,11,13,13,16	77.0,77.0,80.0,80.0,80.0,80.0,110.0,116.0,114.0,116.0,116.0,120.0,120.0,135.0	106.10049438476562,106.10049438476562,105.79518127441406,105.79518127441406,105.79518127441406,105.79518127441406,91.15697479248047,89.91657257080078,92.0722885131836,89.91657257080078,89.91657257080078,90.66625213623047,90.66625213623047,94.59347534179688	1,1,1,1,1,1,1,1,1,1,1,1,1,1	0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0	2,2,2,2,2,2,2,2,2,2,2,2,2,2	0,0,0,0,0,0,2,2,2,2,2,2,2,4	0,0,1,1067,1123,1137,1712,1771,1813,1823,1827,1838,1867,1927	0,0,8,0,0,0,14,1,1,3,1,20,0,7	0,0,16,0,0,0,16,1,4,4,2,41,0,21	0,0,78,0,0,0,334,24,58,58,8,214,0,390	0,0,556,0,0,0,9,172,454,262,255,161,3,82	0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,1,0,1,0,0,0	1182.json	
1131	5	0.0	0.5500199794769287	0.8304646044889843	0	0	1	1.96	0	2	25.0	120.63774108886719	1	0	0	2	0	0	0	0	0	0	0	0	3371.json	
1219	3	0.0	0.6221574544906616	0.7872312651973361	0	0	1	1.89	0	0	19.0	130.57513427734375	1	1	0	0	0	0	0	0	0	0	0	0	801.json	
940	3	0.0	0.7578468918800354	0.9543048625240008	0	0	1	1.89	0	0	12.0	133.59722900390625	1	0	0	0	0	0	0	0	0	0	0	0	4804.json	
1638	11,11,11,11,11,11,11,3,3,3	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.05876632034778595,0.09484316408634186,0.09619099646806717,0.09619099646806717,0.15448683500289917,0.15448683500289917,0.11698825657367706,0.7176809906959534,0.6744791269302368,0.6744791269302368	0.10943949864916158,0.16326647345467543,0.16459702429886044,0.16459702429886044,0.1826046040809131,0.1826046040809131,0.17835017988614557,0.7928410977219305,0.7774010469739737,0.7774010469739737	2,2,2,2,2,2,2,0,0,0	2,2,2,2,2,2,2,0,0,0	3,3,3,3,3,3,3,1,1,1	2.86,2.86,2.86,2.86,2.86,2.86,2.86,1.89,1.89,1.89	1,1,1,1,1,1,1,0,0,0	5,5,5,5,5,5,5,1,1,1	57.0,55.0,55.0,55.0,55.0,55.0,55.0,18.0,18.0,18.0	102.27546691894531,102.51826477050781,102.51826477050781,102.51826477050781,102.51826477050781,102.51826477050781,102.51826477050781,130.99049377441406,130.99049377441406,130.99049377441406	1,1,1,1,1,1,1,1,1,1	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	1,1,1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,0,0,0	0,1,14,23,349,355,372,373,699,803	0,1,0,0,4,0,1,1,1,0	0,2,0,0,8,0,2,10,2,0	0,12,1,0,25,0,9,262,8,0	0,1,0,0,154,13,77,12,153,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,1,0	6035.json	
475	8,8,9,10	0.0,0.0,0.0,0.0	0.002455503446981311,0.002261751564219594,0.0020716728176921606,4.847691161558032E-4	9.568518137960082E-5,9.608183137253809E-5,4.5822559787034675E-5,1.40479573451708E-6	0,0,0,0	0,0,0,0	1,1,1,1	1.73,1.73,1.66,1.6	0,0,0,0	9,9,10,14	84.0,84.0,90.0,108.0	105.42206573486328,105.42206573486328,103.11821746826172,100.29484558105469	1,1,1,1	0,0,0,0	0,0,0,0	2,2,2,2	4,4,4,4	0,11,90,196	0,1,1,1	0,2,1,1	0,4,24,89	0,38,96,93	0,0,0,0	0,0,0,0	1139.json	
1191	3,3,3,3	0.0,0.0,0.0,0.0	0.5627080202102661,2.3456908820662647E-4,0.0,0.0	0.8482237764430653,0.04275926325334678,0.003551965326725099,0.002251150473064101	0,0,1,1	0,0,1,1	1,1,2,2	1.89,1.89,1.89,1.89	0,0,0,0	0,4,7,7	17.0,43.0,56.0,58.0	131.03103637695312,125.56587982177734,123.64588928222656,123.408935546875	1,1,1,1	0,0,0,0	0,0,0,0	2,2,2,2	0,0,0,0	0,0,3,208	0,1,1,1	0,2,2,2	0,80,39,12	0,81,91,288	0,0,0,0	0,0,0,0	1421.json	
946	3	0.0	0.31814098358154297	0.715157803224562	0	0	1	1.89	0	1	20.0	130.07347106933594	1	0	0	1	0	0	0	0	0	0	0	0	711.json	
951	3	0.0	0.1820748895406723	0.73583928876914	0	0	1	1.89	0	1	22.0	129.69032287597656	1	0	0	2	0	0	0	0	0	0	0	0	2286.json	
1188	3,3,3	0.0,0.0,0.0	0.5467407703399658,0.22598877549171448,0.22598877549171448	0.9491082705945972,0.9331481877446725,0.9331481877446725	0,0,0	0,0,0	1,1,1	1.89,1.89,1.89	0,0,0	0,0,0	12.0,12.0,12.0	133.59722900390625,133.59722900390625,133.59722900390625	1,1,1	0,0,0	1,1,1	0,0,0	0,0,0	0,0,20	0,2,0	0,4,0	0,20,0	0,25,1	0,0,0	0,0,0	4561.json	
1707	5,5,5,5,5,5,5	0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.8361298441886902,0.8361298441886902,0.8361298441886902,0.8361298441886902,0.8361298441886902,0.8283026814460754,0.8283026814460754	0.8449331187274957,0.8449331187274957,0.8449331187274957,0.8449331187274957,0.8449331187274957,0.8448086977671495,0.8448086977671495	0,0,0,0,0,0,0	0,0,0,0,0,0,0	1,1,1,1,1,1,1	5.43,5.43,5.43,5.43,5.43,5.43,5.43	0,0,0,0,0,0,0	1,1,1,1,1,1,1	24.0,24.0,24.0,24.0,24.0,24.0,24.0	120.85002136230469,120.85002136230469,120.85002136230469,120.85002136230469,120.85002136230469,120.85002136230469,120.85002136230469	1,1,1,1,1,1,1	0,0,0,0,0,0,0	0,0,0,0,0,0,0	0,0,0,0,0,0,0	0,0,0,0,0,0,0	0,69,72,83,424,565,872	0,0,0,0,0,1,0	0,0,0,0,0,2,0	0,0,0,0,0,8,0	0,3,0,0,13,24,0	0,0,0,0,0,0,0	0,0,0,0,0,1,0	6661.json	
3099	5,5,5,5,5,5,13,14,14,14,11	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.001693052239716053,0.001693052239716053,0.0020025938283652067,0.0020025938283652067,0.0020025938283652067,0.0020025938283652067,0.3104565143585205,0.224764883518219,0.22328922152519226,0.21986033022403717,0.00706229405477643	0.03295365339980712,0.03295365339980712,0.009351400957186486,0.009351400957186486,0.009351400957186486,0.009351400957186486,0.0017013987563439376,8.074624113777148E-4,8.084689690152683E-4,0.00281997837543271,6.935769838380073E-6	0,0,0,0,0,0,2,2,2,2,2	0,0,0,0,0,0,2,2,2,2,2	1,1,1,1,1,1,3,3,3,3,2	1.96,1.96,3.92,3.92,3.92,3.92,4.44,4.28,4.28,2.14,2.06	0,0,0,0,0,0,1,1,1,1,0	6,6,6,6,6,6,6,7,7,7,11	51.0,51.0,54.0,54.0,54.0,54.0,84.0,90.0,90.0,89.0,104.0	116.33314514160156,116.33314514160156,115.90657806396484,115.90657806396484,115.90657806396484,115.90657806396484,97.2583236694336,95.65644073486328,95.65644073486328,95.75711059570312,98.7487564086914	1,1,1,1,1,1,1,1,1,1,1	0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0	2,2,2,2,2,2,2,2,2,2,2	0,0,0,0,0,0,2,2,2,2,3	0,0,1,1067,1123,1137,1712,1771,1827,1867,1927	0,0,5,0,0,0,12,1,1,0,5	0,0,10,0,0,0,14,1,2,0,15	0,0,50,0,0,0,170,24,8,118,237	0,0,556,0,0,0,9,172,255,3,82	0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,1,0,0	1170.json	
1191	3,3,3,3	0.0,0.0,0.0,0.0	2.0724025671370327E-4,0.0,0.0,0.0	0.0457976882947301,0.004283382424682768,3.009623847620864E-4,1.8595347774743207E-4	0,0,1,1	0,0,1,1	1,1,2,2	1.89,1.89,1.89,1.89	0,0,0,0	4,6,9,9	43.0,58.0,71.0,73.0	125.56587982177734,123.93971252441406,122.35730743408203,122.16075897216797	1,1,1,1	0,0,0,0	0,0,0,0	2,2,2,2	0,0,0,0	0,0,3,208	0,1,1,1	0,2,2,2	0,42,39,12	0,81,91,288	0,0,0,0	0,0,0,0	1359.json	
940	6	0.0	0.9353203177452087	0.05696143184749357	1	2	3	1.89	0	2	54.0	112.37601470947266	1	0	0	1	1	0	0	0	0	0	0	0	4868.json	
1616	18,26,26,26,26,26,26,26,28,28,28,28,28	0.0,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.10714285714285714,0.10714285714285714,0.10714285714285714,0.10714285714285714,0.14285714285714285	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	3.3514845461181967E-6,9.594587354522579E-11,9.594587354522579E-11,9.780283151510448E-11,9.555038800003927E-11,9.793951727727628E-11,9.793951727727628E-11,2.0847540699014857E-10,1.1488669895416119E-11,3.582118863406992E-12,3.436013415383886E-12,3.436013415383886E-12,2.1955826276556285E-13	3,6,6,6,6,6,6,6,9,9,9,9,10	4,7,7,7,7,7,7,7,9,10,10,10,12	5,9,9,9,9,9,9,9,10,10,10,10,11	4.81,4.21,4.21,4.21,4.21,4.21,4.21,4.21,4.51,4.51,4.51,4.51,4.48	3,5,5,5,5,5,5,5,5,5,5,5,5	18,27,27,27,27,27,27,26,30,31,31,31,33	132.0,199.0,199.0,199.0,199.0,199.0,199.0,196.0,218.0,222.0,222.0,222.0,235.0	89.17615509033203,79.67924499511719,79.67924499511719,79.67924499511719,79.67924499511719,79.67924499511719,79.67924499511719,79.78659057617188,77.74688720703125,77.65233612060547,77.65233612060547,77.65233612060547,77.04761505126953	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0	3,3,3,3,3,3,3,3,3,3,3,3,3	0,2,2,2,2,2,2,2,2,2,2,2,2	0,0,2,327,328,328,333,336,536,646,677,782,1300	0,10,0,2,2,4,0,2,9,2,2,0,3	0,10,0,4,4,8,0,4,14,5,4,0,5	0,469,0,20,20,20,0,31,226,104,40,0,120	0,3,0,154,14,26,13,2,1,1,174,0,1	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,1,0,0,0,0	6465.json	
940	3	0.0	0.7142124772071838	0.790154775971103	0	0	1	1.89	0	1	18.0	130.99049377441406	1	0	0	1	0	0	0	0	0	0	0	0	4857.json	
1010	3	0.0	0.9611467719078064	0.9573117401579992	0	0	1	1.89	0	0	13.0	132.9956512451172	1	0	0	0	0	0	0	0	0	0	0	0	5358.json	
3099	13,13,13,13,13,13,13,13,13,13,12,12	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.18825599551200867,0.18825599551200867,0.18074332177639008,0.18074332177639008,0.18074332177639008,0.18074332177639008,0.46665245294570923,0.4452724754810333,0.35903313755989075,0.44018444418907166,0.00518297404050827,0.005166012793779373	0.006965483833983542,0.006965483833983542,0.001054668324323587,0.001054668324323587,0.001054668324323587,0.001054668324323587,0.005425695583095278,0.005417503731002699,0.0011600139601635503,0.01935009260137868,1.8552600762139108E-4,1.9690025925942682E-4	9,9,9,9,9,9,9,9,9,9,12,12	3,3,3,3,3,3,3,3,3,3,4,4	4,4,4,4,4,4,4,4,4,4,5,5	2.46,2.46,4.92,4.92,4.92,4.92,4.92,4.92,5.43,2.46,2.75,2.75	1,1,1,1,1,1,1,1,1,1,0,0	9,9,9,9,9,9,9,9,11,9,12,12	89.0,89.0,93.0,93.0,93.0,93.0,85.0,85.0,93.0,84.0,99.0,99.0	97.02214813232422,97.02214813232422,96.68697357177734,96.68697357177734,96.68697357177734,96.68697357177734,97.20679473876953,97.20679473876953,96.6370849609375,97.32280731201172,97.48065185546875,97.48065185546875	1,1,1,1,1,1,1,1,1,1,1,1	0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0	2,2,2,2,2,2,2,2,2,2,2,2	1,1,1,1,1,1,1,1,1,1,1,1	0,0,1,1067,1123,1137,1717,1827,1838,1878,1916,1944	0,0,13,0,0,0,4,1,1,1,5,5	0,0,26,0,0,0,8,2,2,2,15,10	0,0,125,0,0,0,47,8,34,127,120,5	0,0,556,0,0,0,95,255,161,41,84,268	0,0,0,0,0,0,0,0,0,1,0,0	0,0,0,0,0,0,0,1,0,1,0,0	2100.json	
1227	10,10,10	0.1,0.1,0.1	0.04223281517624855,0.038094546645879745,0.038094546645879745	0.013273115844534004,0.013015502102439019,0.013015502102439019	1,1,1	1,1,1	3,3,3	2.38,2.38,2.38	2,2,2	6,6,6	64.0,64.0,64.0	102.8801040649414,102.8801040649414,102.8801040649414	0,0,0	0,0,0	0,0,0	2,2,2	0,0,0	0,288,393	0,1,0	0,2,0	0,8,0	0,137,0	0,0,0	0,0,0	6940.json	
1165	3,3,3	0.0,0.0,0.0	0.24334415793418884,0.24629737436771393,0.24629737436771393	0.35939628189591744,0.3491205831646032,0.3491205831646032	0,0,0	0,0,0	1,1,1	1.89,1.89,1.89	0,0,0	2,2,2	27.0,27.0,27.0	128.22288513183594,128.22288513183594,128.22288513183594	1,1,1	0,0,0	0,0,0	2,2,2	0,0,0	0,226,331	0,1,0	0,2,0	0,8,0	0,153,0	0,0,0	0,1,0	5893.json	
3099	7,7,7,7,7,7,7,7,4,4,8,8,8	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.7528141736984253,0.7528141736984253,0.7523157596588135,0.7523157596588135,0.7523157596588135,0.7523157596588135,0.858142614364624,0.8540874123573303,0.5996077060699463,0.5431629419326782,0.05232519656419754,0.05217834934592247,0.05519413948059082	0.190405091134469,0.190405091134469,0.041598282681672594,0.041598282681672594,0.041598282681672594,0.041598282681672594,0.0993299773531087,0.10138540195135377,0.28443562820309853,0.2828288880965984,0.016946708738546912,0.01791654105877778,0.013199344396649808	3,3,3,3,3,3,3,3,0,0,6,6,6	1,1,1,1,1,1,1,1,0,0,2,2,2	2,2,2,2,2,2,2,2,1,1,3,3,3	2.56,2.56,5.11,5.11,5.11,5.11,5.11,5.11,2.0,2.0,2.83,2.83,2.83	1,1,1,1,1,1,1,1,0,0,0,0,0	3,3,3,3,3,3,3,3,3,3,6,6,6	47.0,47.0,51.0,51.0,51.0,51.0,47.0,47.0,35.0,35.0,61.0,61.0,63.0	110.94767761230469,110.94767761230469,110.40599822998047,110.40599822998047,110.40599822998047,110.40599822998047,110.88778686523438,110.88778686523438,122.05010986328125,122.05010986328125,107.08174133300781,107.08174133300781,106.91397857666016	1,1,1,1,1,1,1,1,1,1,1,1,1	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0	2,2,2,2,2,2,2,2,2,2,2,2,2	1,1,1,1,1,1,1,1,1,1,1,1,1	0,0,1,1067,1123,1137,1717,1827,1838,1857,1916,1944,2116	0,0,7,0,0,0,2,1,4,1,6,3,1	0,0,14,0,0,0,4,2,12,2,9,6,2	0,0,69,0,0,0,23,8,130,16,142,3,12	0,0,556,0,0,0,95,255,110,19,84,268,288	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,1,1,0,0,0,0	2080.json	
1183	3,3	0.3333333333333333,0.3333333333333333	0.9537267088890076,0.9537267088890076	0.8879392627775705,0.8879392627775705	0,0	0,0	1,1	2.0,2.0	0,0	1,1	17.0,17.0	131.28770446777344,131.28770446777344	1,1	0,0	0,0	0,0	0,0	0,15	0,0	0,0	0,0	0,18	0,0	0,0	5205.json	
947	3,3	0.0,0.0	0.6866729855537415,0.7182789444923401	0.9309036629011366,0.6782849747730475	0,0	0,0	1,1	1.89,1.89	0,0	0,1	14.0,21.0	132.61029052734375,129.81976318359375	1,1	0,0	0,0	0,0	0,0	0,1	0,1	0,2	0,47	0,179	0,0	0,0	3874.json	
948	10,8	0.0,0.0	0.016520021483302116,0.057874977588653564	0.0014574499855556798,0.015138181161146829	9,6	3,2	4,3	2.8,2.83	0,0	9,6	81.0,63.0	101.65565490722656,106.91397857666016	1,1	0,0	0,0	2,2	1,1	0,458	0,0	0,2	0,93	0,14	0,0	0,0	1589.json	
